--------------------------------------------------------------------------------
This is a log file of running processes on machine created using automation script
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 20260}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 20268}
{'name': 'sourcery.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 20336}
{'name': 'cpptools-srv.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 20472}
{'name': 'LenovoVantage-(SmartDisplayAddin).exe', 'username': None, 'pid': 20688}
{'name': 'powershell.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 21128}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 21336}
{'name': 'svchost.exe', 'username': None, 'pid': 21552}
{'name': 'LenovoVantageService.exe', 'username': None, 'pid': 21704}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 21720}
{'name': 'WindowsTerminal.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 21940}
{'name': 'RuntimeBroker.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 21988}
{'name': 'conhost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 22020}
{'name': 'ShellExperienceHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 22256}
{'name': 'uihost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 22288}
{'name': 'msedge.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 22316}
{'name': 'MfeBrowserHost.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 22400}
{'name': 'svchost.exe', 'username': None, 'pid': 22428}
{'name': 'svchost.exe', 'username': None, 'pid': 22508}
{'name': 'OpenConsole.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 22556}
{'name': 'msedge.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 22724}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 23064}
{'name': 'Code.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 23172}
{'name': 'msedge.exe', 'username': 'PREMCHOUDHARY\\premc', 'pid': 23340}
